Request Date,Request Body
10/1/21,Please provide water usage for the past 12 months for :             [[redacted]]
10/4/21,"Please provide properties with open code violations for high grass, low hanging limbs, trash and junk, inoperable or abandoned vehicles, dumping, and landscaping/vegetation maintenance for the month of September 2021."
10/4/21,"Please provide a list of all structural fires with full addresses for the month of September 2021,"
10/4/21,"Please provide identify potential sources of environmental concern that may or may not have occurred. Such information may consist of fuel or chemical storage activities, hazardous material responses, spills, and/or releases, fuel storage permits, and notices of violation for the following location: Advanced Urology MOB & ASC [[redacted]]"
10/4/21,"Please provide information regarding release from or satisfaction of liens regarding the following persons:
[[redacted]] – Code Enforcement Lien - Recorded in [[redacted]]
[[redacted]] – Code Enforcement Lien – TCE10-1328 , Recorded in [[redacted]]
[[redacted]] - Code Enforcement Lien –Recorded in [[redacted]]"
10/4/21,"Please provide any additional Form 8Bs that have been filed by commissioners since the time of my first request (Aug. 2, 2021) to the present. Also provide if CRA has any Form 8B"
10/4/21,"Please provide the RFP (028-20-KM) or the vendors' applications. I was only able to find the award letter. 

Where is the RFP for bid 083-20-KM? And each vendor's application/response to the RFP?"
10/5/21,"Please provide original permit documents available for [[redacted]]? I realize it is an old park, but I am trying to locate maps of the water line sand sewer lines"
10/5/21,Please provide any fire code violations for [[redacted]]  And Parcel # [[redacted]]
10/5/21,"Please provide if any storage of hazardous materials, release pof petroleum or hazardous materials or any other environmental issues at the property at Parcel # [[redacted]]"
10/5/21,"Please provide a copy of the bid tabulation for Tallahassee International Airport Terminal Rehabilitation Phase 3 - 078-21-CW, 2010001011"
10/6/21,Please provide the 2021 annual performance reviews of City Manager [[redacted]] submitted by city commissioners
10/7/21,Please provide any fire code violations or any project plans that would cause the described property to lose land area by means of eminent domain or purchase
10/7/21,"Please provide documents related to land acquisition on Sterns Street, Tallahassee as part of the FAMU Way / Capital Cascades Project. "
10/8/21,"Please provide •	Zoning Verification Letter for [[redacted]].
•	Any open and/or unresolved zoning, building and fire code violations
•	Any variances and/or special/conditional use permits and/or zoning relief that may apply to the property
•	Copies of certificates of occupancy 
•	Final approved site plan for the property (if available)"
10/11/21,"A) Please provide for copies of all reports, records or written correspondence arising out of the past two most recent property inspections performed by Tallahassee Fire Department at [[redacted]], a nightclub located at [[redacted]]. B) any and all reports, records or written correspondence arising out of any work, inspection, safety review or safety check performed by Tallahassee Fire Department at [[redacted]], a nightclub located at [[redacted]], related to June 27, 2021."
10/11/21,"Please provide a copy of the letter referenced by Tallahassee Police Chief [[redacted]] that he received from the American Civil Liberties Union following his swearing in as Chief. a copy of the letter referenced by Tallahassee Police Chief [[redacted]] that he received following his swearing in as Chief that he describes as a “christian organization” that he keeps behind his desk, which is a christian organization that “works with the federal government,” located in Washington DC,  that [[redacted]] categorized as saying “basically, thank you for standing up, we got your back, if they do anything, let us know, we’ll take care of it”"
10/11/21,Please provide a copy of the shortlist scoring summary for the RFP 051-20-CC
10/11/21,"Please provide copies of any and all documents, including emails, of any guidance or advice from the City Attorney’s Office to any city commissioner involving voting conflicts or other conflicts of interest since Nov. 1, 2018"
